,Time,Total,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
0,2020-02-28 10:00:00,53,10,15,0,0,0,0,0,0,0,25,0,0,0,0,1,0
1,2020-02-29 10:00:00,66,14,15,0,0,0,0,3,0,0,30,1,0,0,0,1,0
2,2020-03-01 10:00:00,117,15,19,0,0,1,1,8,0,1,66,2,0,0,0,2,0
3,2020-03-01 15:00:00,129,15,23,0,0,1,1,8,0,1,74,2,0,0,0,2,0
4,2020-03-02 10:00:00,150,19,25,1,0,1,1,10,0,1,86,2,0,0,0,2,0
5,2020-03-02 15:00:00,157,20,26,1,0,1,2,10,0,1,90,2,0,0,0,2,0
6,2020-03-03 10:00:00,188,26,35,3,1,1,2,10,0,1,101,2,0,1,0,2,1
7,2020-03-03 15:00:00,196,28,37,3,1,2,2,12,0,2,103,2,0,1,0,2,1
8,2020-03-04 10:00:00,240,44,48,6,1,2,2,12,3,4,111,2,1,1,0,2,1
9,2020-03-04 15:00:00,262,50,48,7,1,3,3,12,4,7,115,7,1,1,0,2,1
10,2020-03-05 08:00:00,349,65,52,9,1,3,3,14,4,10,175,7,1,1,0,3,1
11,2020-03-05 15:00:00,400,73,70,13,1,3,5,14,4,18,181,8,1,1,0,7,1
12,2020-03-06 07:00:00,534,91,79,15,1,3,8,15,5,18,281,8,1,1,0,7,1
13,2020-03-06 15:00:00,639,96,117,19,2,4,11,16,5,18,329,10,2,2,0,7,1
14,2020-03-07 08:00:00,684,116,117,24,2,4,12,16,5,19,346,10,2,2,0,8,1
15,2020-03-07 15:00:00,795,170,134,28,2,4,13,17,5,19,373,13,3,4,0,8,2
16,2020-03-08 08:00:00,847,182,148,28,2,4,13,17,7,21,392,15,4,4,0,8,2
17,2020-03-08 15:00:00,902,182,172,40,4,4,13,19,8,21,398,19,4,7,0,9,2
18,2020-03-09 08:00:00,1112,199,256,40,6,4,17,20,8,33,484,19,5,10,0,9,2
19,2020-03-09 15:00:00,1139,204,256,48,6,4,17,26,10,38,484,17,6,12,0,9,2
